x,y,Subway_Num
0.775423729,0.238549618,1
0.776836158,0.320610687,1
0.776836158,0.454198473,1
0.72740113,0.395038168,1
0.685028249,0.340603053,1
0.675141243,0.340603053,1
0.559322034,0.340603053,1
0.459039548,0.340603053,1
0.322033898,0.340603053,1
0.141242938,0.339694656,1
0.141242938,0.375954198,1
0.139830508,0.414122137,1
0.118644068,0.446564885,1
0.117231638,0.603053435,1
0.865819209,0.391221374,2
0.834745763,0.391221374,2
0.725988701,0.391221374,2
0.346045198,0.391221374,2
0.326271186,0.391221374,2
0.31920904,0.391221374,2
0.320621469,0.34351145,2
0.320621469,0.309160305,2
0.31779661,0.299618321,2
0.310734463,0.295801527,2
0.282485876,0.295801527,2
0.248587571,0.295801527,2
0.241525424,0.291984733,2
0.240112994,0.27480916,2
0.240112994,0.232824427,2
0.218926554,0.204198473,2
0.200564972,0.179389313,2
0.18220339,0.154580153,2
0.107344633,0.053435115,2
0.101694915,0.047709924,2
0.088983051,0.059160305,2
0.06920904,0.08778626,2
0.529661017,0.219465649,3
0.531073446,0.395038168,3
0.529661017,0.427480916,3
0.550847458,0.454198473,3
0.560734463,0.454198473,3
0.644067797,0.454198473,3
0.710451977,0.454198473,3
0.776836158,0.454198473,3
0.775423729,0.536259542,3
0.775423729,0.574427481,3
0.775423729,0.748091603,3
0.790960452,0.77480916,3
0.805084746,0.79389313,3
0.913841808,0.938931298,3
0.933615819,0.959923664,3
0.95480226,0.959923664,3
0.564971751,0.238549618,4
0.564971751,0.276717557,4
0.559322034,0.284351145,4
0.559322034,0.34351145,4
0.559322034,0.536259542,4
0.559322034,0.730916031,4
0.559322034,0.744274809,4
0.564971751,0.753816794,4
0.573446328,0.765267176,4
0.604519774,0.807251908,4
0.834745763,0.395038168,5
0.834745763,0.47519084,5
0.834745763,0.570610687,5
0.831920904,0.578244275,5
0.788135593,0.639312977,5
0.774011299,0.639312977,5
0.559322034,0.641221374,5
0.34039548,0.641221374,5
0.307909605,0.641221374,5
0.296610169,0.627862595,5
0.139830508,0.414122137,5
0.103107345,0.366412214,5
0.094632768,0.353053435,5
0.094632768,0.34351145,5
0.101694915,0.33778626,5
0.110169492,0.339694656,5
0.141242938,0.339694656,5
0.834745763,0.47519084,7
0.789548023,0.536259542,7
0.775423729,0.536259542,7
0.710451977,0.536259542,7
0.675141243,0.536259542,7
0.655367232,0.511450382,7
0.644067797,0.494274809,7
0.644067797,0.395038168,7
0.644067797,0.25,7
0.642655367,0.242366412,7
0.634180791,0.240458015,7
0.594632768,0.240458015,7
0.564971751,0.276717557,7
0.54519774,0.276717557,7
0.529661017,0.276717557,7
0.474576271,0.276717557,7
0.468926554,0.278625954,7
0.467514124,0.282442748,7
0.467514124,0.330152672,7
0.450564972,0.353053435,7
0.40819209,0.353053435,7
0.375706215,0.395038168,7
0.375706215,0.454198473,7
0.374293785,0.595419847,7
0.382768362,0.608778626,7
0.40819209,0.641221374,7
0.437853107,0.68129771,7
0.813559322,0.354961832,9
0.813559322,0.311068702,9
0.813559322,0.299618321,9
0.812146893,0.29389313,9
0.805084746,0.29389313,9
0.751412429,0.29389313,9
0.720338983,0.29389313,9
0.714689266,0.29389313,9
0.711864407,0.301526718,9
0.711864407,0.360687023,9
0.711864407,0.536259542,9
0.711864407,0.58778626,9
0.709039548,0.595419847,9
0.701977401,0.595419847,9
0.638418079,0.595419847,9
0.593220339,0.536259542,9
0.559322034,0.534351145,9
0.467514124,0.536259542,9
0.463276836,0.532442748,9
0.460451977,0.526717557,9
0.460451977,0.339694656,9
0.460451977,0.278625954,9
0.460451977,0.270992366,9
0.45480226,0.267175573,9
0.38559322,0.267175573,9
0.289548023,0.267175573,9
0.531073446,0.395038168,11
0.498587571,0.353053435,11
0.470338983,0.353053435,11
0.45480226,0.335877863,11
0.45480226,0.288167939,11
0.453389831,0.282442748,11
0.447740113,0.278625954,11
0.290960452,0.278625954,11
0.289548023,0.269083969,11
0.259887006,0.232824427,11
0.220338983,0.232824427,11
0.173728814,0.29389313,11
0.142655367,0.339694656,11
0.084745763,0.417938931,11
0.084745763,0.43129771,11
0.084745763,0.629770992,11
0.111581921,0.660305344,11
0.183615819,0.738549618,11
0.183615819,0.967557252,11
