longitude,latitude,unit_price
114.118748,22.595281,34204
114.058393,22.625149,52739
114.047756,22.523889,81760
114.224351,22.675946,44997
114.208973,22.709994,41165
113.848762,22.572542,67595
113.856489,22.572504,70608
113.849503,22.603327,60513
113.886699,22.565333,43860
113.858994,22.575653,70029
113.964819,22.525872,103302
114.1246,22.602495,36593
114.032187,22.519839,68323
113.927818,22.520407,66923
114.228074,22.676384,33568
114.063129,22.565365,44293
114.291121,22.729551,31377
113.903114,22.509892,91130
113.927352,22.525297,88988
113.928492,22.51434,63080
114.012043,22.548327,104324
113.955295,22.559367,65633
114.239675,22.726866,28524
114.1246,22.602495,35061
113.891489,22.562697,46425
113.858569,22.564221,52584
113.915198,22.571807,61960
114.136134,22.581274,67287
114.067475,22.537812,77882
113.936553,22.509681,93358
114.021391,22.649079,37445
114.076609,22.527364,52099
114.075496,22.660771,54748
114.067526,22.524873,60173
113.882082,22.564032,74513
114.137131,22.545623,39427
114.121829,22.543001,41648
114.06773,22.646647,49980
114.134948,22.601034,50418
114.043187,22.523905,60171
114.073192,22.617412,59867
114.227132,22.692819,53353
114.134042,22.550327,49492
113.853356,22.573996,69538
114.225134,22.669706,34821
114.058528,22.635734,55796
113.894407,22.563639,59755
114.110002,22.623493,41030
114.134604,22.597722,49264
114.141536,22.602186,30674
114.15725,22.608511,47769
113.977732,22.53961,74235
114.05698,22.62237,54603
114.070217,22.544417,62507
113.954383,22.548143,104975
114.057891,22.563534,52735
114.028793,22.600742,84336
114.140929,22.599355,39788
114.05178,22.508798,61865
114.233629,22.710795,53706
114.052216,22.516085,61212
114.058039,22.571927,54946
113.89801,22.54798,76196
114.024911,22.627694,73265
113.921219,22.516255,60946
114.046721,22.571546,68582
114.037626,22.562898,63358
114.128579,22.543493,53302
114.118748,22.595281,37236
114.134079,22.544389,54033
113.883,22.565057,69432
113.85511,22.566576,59668
114.075496,22.660771,52735
113.921266,22.511224,64572
114.212845,22.650627,37564
114.208973,22.709994,41007
114.136879,22.615961,43946
114.12319,22.59586,46317
113.928486,22.545187,83887
114.164488,22.565259,45740
113.890842,22.587832,52455
114.125719,22.594613,46700
114.02552,22.52313,73516
114.266279,22.686879,32375
114.186091,22.647459,38741
113.964819,22.525872,106900
114.136134,22.581274,50898
113.965701,22.529292,118872
114.113225,22.537888,51394
114.242647,22.562582,42351
113.871521,22.566124,42640
114.12319,22.59586,46531
114.048549,22.544087,44499
114.113865,22.545795,57819
114.140117,22.607848,40688
114.133663,22.549331,75181
114.067569,22.524167,54596
113.953296,22.525159,101764
114.14167,22.61357,46000
113.888708,22.559862,63178
114.047092,22.54791,75132
114.05565,22.50914,55308
114.076609,22.527364,54397
114.257339,22.723839,32379
114.24173,22.720444,41547
114.24052,22.71796,37038
114.142904,22.548238,50981
114.061488,22.60506,67092
114.070807,22.523709,56794
113.938634,22.519674,109730
114.05565,22.50914,54278
114.129501,22.572259,48841
113.906122,22.559663,60453
114.246454,22.728409,34030
113.920828,22.539354,63591
113.931219,22.524938,75135
113.985438,22.557326,54884
114.16905,22.558465,55649
114.236646,22.710421,58145
113.964819,22.525872,130129
113.88752,22.584066,62909
114.05565,22.50914,56276
114.129501,22.572259,48841
113.906122,22.559663,60453
113.942584,22.502665,137191
114.041827,22.609262,48248
114.163911,22.612824,44480
113.910135,22.519532,91943
114.065784,22.570205,47719
114.138953,22.608815,46644
114.149971,22.616613,48507
113.857087,22.578703,42843
114.24206,22.732298,35373
114.227132,22.692819,54824
113.921311,22.48311,91784
114.047756,22.523889,77164
114.121091,22.597876,39447
114.127211,22.541275,45226
114.131501,22.559026,59181
114.031892,22.638192,43856
114.137955,22.568975,74830
113.895404,22.55051,86472
114.107336,22.630122,35071
114.058528,22.635734,60427
114.122922,22.619804,38678
114.141181,22.600635,31626
113.948971,22.5223,100598
114.231882,22.72388,47616
114.012972,22.549631,106775
114.23553,22.726362,45931
114.111703,22.547383,50869
114.040969,22.693875,39231
114.140234,22.571725,34491
114.04605,22.562202,59524
114.242487,22.71043,31559
114.057891,22.563534,59540
113.85511,22.566576,79938
114.044519,22.546131,70731
114.063877,22.693063,63882
114.266279,22.686879,34684
114.111166,22.558018,65090
113.886412,22.587405,59955
114.01423,22.637275,66085
114.156431,22.607677,46877
113.889657,22.581684,55711
114.021326,22.633547,58507
114.126011,22.610479,40990
114.041295,22.544897,85965
114.140234,22.571725,40025
113.935519,22.520447,105406
113.920828,22.539354,77720
114.065085,22.51938,58696
114.025571,22.523102,64672
114.075406,22.524038,56569
114.208973,22.709994,41578
114.025689,22.522983,74820
114.065085,22.51938,62536
114.071382,22.571444,70994
114.118748,22.595281,36641
114.189833,22.557207,60881
113.97978,22.561732,60517
114.23013,22.728147,53673
114.083716,22.530194,57539
114.107336,22.630122,32335
