x,y
-0.603532875,-0.412572103
0.138714621,0.173584109
0.542220588,-0.460046473
-1.172848851,-0.143668233
0.214562344,-0.275565146
0.253027946,0.42432282
-0.28736998,0.651756501
-0.273315928,-0.264316658
-0.282226,0.38147533
-0.445018915,0.895155216
-0.23859635,0.257826716
-0.499193222,0.254978163
-0.388126947,0.438767378
0.032229409,-0.15257969
0.479747029,-0.499310514
-0.055142747,0.389858722
-0.255504753,-0.101227915
-0.455597708,0.028846327
-0.41858584,-0.392226967
1.207917589,-1.152389274
0.06704411,0.352922593
-0.245342948,0.142635144
-0.220273936,-0.092609585
0.229794721,-0.766428387
-0.346860123,0.016501638
-0.724102455,-0.344932739
0.28737786,-0.330185504
-0.511827861,0.444430319
-0.00756915,0.439304473
-0.467974301,0.183492386
0.551148773,-0.152508375
-0.237796539,0.042193493
-0.354720019,-0.158893506
-0.25062903,-0.441374217
-0.814546735,-0.210065923
-0.583809631,0.105886162
-1.090019824,0.089371284
-0.670496596,0.07995553
-0.147146929,1.17011139
-0.23294877,-1.041821945
0.724748133,-0.829373315
-0.534321362,0.293257101
-0.427682317,-0.004191079
-0.140311501,0.131704006
-0.497170038,-0.430987807
-0.484257159,-0.9132308
-0.553659096,0.078842346
-0.625992943,0.228914045
-0.261914059,-0.905738855
-0.248424979,0.584962076
-0.903015628,0.681518277
-0.291037962,-0.124471387
-0.554444812,0.549682231
-0.507481005,-0.053775746
-0.081154762,0.044716962
0.281527909,0.30316366
0.823908736,-0.040237732
-0.386676712,0.405446064
0.802954814,-0.260342653
-0.578904274,-0.655863414
0.328294232,0.069634484
1.274495535,1.025140664
-0.017380195,0.204015072
-0.33481679,0.102501675
-0.003802378,-1.126434359
0.888542224,-0.282701872
-0.569303868,0.475106778
0.68391359,-0.186402404
0.664782395,-0.074606321
0.168236399,-0.046108847
0.003446419,-0.28724831
-0.227734369,-0.98061332
-0.183261966,0.485662688
0.324143284,-0.356599558
1.035135431,-0.756589727
-0.076699206,-0.343561969
-0.695350473,0.00591977
-0.361790889,-0.058217489
0.129130881,-0.021113751
-0.158529557,0.38114792
-0.088894979,-0.363047547
-0.084997038,-0.033898624
-0.686150943,-0.630539601
-0.086893585,0.10344602
0.425116129,0.682205325
0.348804356,0.570478935
0.274998676,0.439389808
-0.201365988,0.404901457
-0.095796885,0.45116895
-0.59726394,0.692190187
-0.026579409,-0.57473941
0.127598,1.520685029
0.852982004,0.154186263
0.500756626,1.319904315
-0.247791722,1.079376018
0.177775148,0.51277391
-0.567304022,-0.35631804
0.439101813,0.273776124
0.486458377,-0.045602055
1.060558553,-0.04236013
0.207261767,1.4144594
-0.237359237,0.193370055
0.032996747,0.017876486
-0.251238891,0.047661712
-0.412999294,-0.938136738
0.08349464,-0.418340025
-0.448132313,-0.795490751
0.084092694,0.3398046
0.177484131,0.019701651
-0.026052558,-0.565552891
-0.097967309,0.771231416
-0.324534876,0.489691465
-0.554883616,0.239831664
0.424637101,0.32001656
0.011181263,-0.566577153
0.415570309,-0.18544239
-0.622143926,0.223091435
0.084513207,-0.549071551
0.336583153,1.355557406
-0.013138188,0.662728034
-0.095696084,0.562951029
-0.390953323,0.027031975
