x,y1,y2,y3,y4,y5
1,4.600887033,6.079108425,5.466778451,1,10.40539035
2,5.4133657,11.57274536,31.11886741,2.987809648,15.50421962
3,5.215159827,16.58590712,33.10269679,4.914977753,15.92969219
4,6.623644311,19.01147067,51.81740816,7.857832984,14.88299
5,5.880257679,22.65898299,55.66507474,9.807140524,15.96097597
6,6.110945783,31.75184333,60.72300878,11.99149441,22.58227716
7,5.760375004,33.9946063,63.469433,18.914654,22.86196421
8,6.763768886,33.65030809,75.54337834,24.67796416,25.22932368
9,6.476712209,35.55485347,84.35996611,28.94133408,19.4334145
10,6.708775719,34.49343916,84.6059774,28.62542948,35.7825193
11,6.897439649,39.57886716,76.27922678,39.25185583,25.76869794
12,11.13526987,58.2691494,92.41194343,33.233511,48.65263617
13,8.217380772,57.67586255,81.60734399,42.08788983,47.49019514
14,10.33862668,72.92358442,90.97191198,54.38655836,30.41183171
15,12.8492798,68.43353384,88.08705543,43.32005751,53.3216153
16,13.03797712,82.62154041,93.82625082,90.24471865,57.150078
17,20.84130945,84.45940219,101.3437384,81.22785902,47.62867454
18,12.39188116,82.01142255,103.0141439,90.79386437,45.14936198
19,15.85819024,89.08794043,107.4167188,70.93076962,46.16553034
20,15.34548633,102.1149375,104.3188227,66.77630359,92.6362666
21,38.75167281,68.10900978,110.685755,67.51210062,81.01284526
22,35.88261868,96.3340416,103.3777413,88.57759374,84.86568003
23,24.2931045,108.5090061,113.580042,116.8982341,57.13592997
24,54.52781416,76.67210712,105.14262,141.4293652,69.22387745
25,62.85852879,107.588807,112.542203,104.0221294,110.6576706
26,43.79545778,103.3926098,119.3395471,161.4329613,104.8268294
27,76.87982632,116.4534177,113.663436,101.8460182,84.93517609
28,90.97333641,106.3564469,109.5431839,137.0566637,106.7095259
29,96.92176054,142.5151846,108.6893177,175.3063504,110
30,51.41028981,115.1481081,110.1133326,119.5294592,115.8233446
31,100.0454469,110.4746225,118.8492618,257.2881263,93.54219332
