x,y,group,country,long,lat
0.145862553,0.296511628,1,PETER,109.3758766,38.89534884
0.1542777,0.25,1,PETER,109.628331,37.5
0.151472651,0.224806202,1,PETER,109.5441795,36.74418606
0.141654979,0.209302326,1,PETER,109.2496494,36.27906978
0.137447405,0.199612403,1,PETER,109.1234222,35.98837209
0.137447405,0.180232558,1,PETER,109.1234222,35.40697674
0.136044881,0.168604651,1,PETER,109.0813464,35.05813953
0.136044881,0.15503876,1,PETER,109.0813464,34.6511628
0.134642356,0.145348837,1,PETER,109.0392707,34.36046511
0.129032258,0.135658915,1,PETER,108.8709677,34.06976745
0.127629734,0.122093023,1,PETER,108.828892,33.66279069
0.127629734,0.108527132,1,PETER,108.828892,33.25581396
0.131837307,0.096899225,1,PETER,108.9551192,32.90697675
0.134642356,0.083333333,1,PETER,109.0392707,32.49999999
0.13884993,0.075581395,1,PETER,109.1654979,32.26744185
0.13884993,0.062015504,1,PETER,109.1654979,31.86046512
0.136044881,0.050387597,1,PETER,109.0813464,31.51162791
0.131837307,0.036821705,1,PETER,108.9551192,31.10465115
0.130434783,0.025193798,1,PETER,108.9130435,30.75581394
0.133239832,0.01744186,1,PETER,108.997195,30.5232558
0.141654979,0.021317829,1,PETER,109.2496494,30.63953487
0.148667602,0.027131783,1,PETER,109.4600281,30.81395349
0.1542777,0.031007752,1,PETER,109.628331,30.93023256
0.159887798,0.032945736,1,PETER,109.7966339,30.98837208
0.164095372,0.031007752,1,PETER,109.9228612,30.93023256
0.166900421,0.021317829,1,PETER,110.0070126,30.63953487
0.166900421,0.013565891,1,PETER,110.0070126,30.40697673
0.164095372,0.005813953,1,PETER,109.9228612,30.17441859
0.171107994,0.003875969,1,PETER,110.1332398,30.11627907
0.182328191,0.007751938,1,PETER,110.4698457,30.23255814
0.193548387,0.009689922,1,PETER,110.8064516,30.29069766
0.206171108,0.011627907,1,PETER,111.1851332,30.34883721
0.208976157,0.021317829,1,PETER,111.2692847,30.63953487
0.217391304,0.036821705,1,PETER,111.5217391,31.10465115
0.221598878,0.048449612,1,PETER,111.6479663,31.45348836
0.228611501,0.063953488,1,PETER,111.858345,31.91860464
0.239831697,0.073643411,1,PETER,112.1949509,32.20930233
0.245441795,0.079457364,1,PETER,112.3632539,32.38372092
0.252454418,0.085271318,1,PETER,112.5736325,32.55813954
0.259467041,0.085271318,1,PETER,112.7840112,32.55813954
0.269284712,0.089147287,1,PETER,113.0785414,32.67441861
0.27769986,0.096899225,1,PETER,113.3309958,32.90697675
0.286115007,0.096899225,1,PETER,113.5834502,32.90697675
0.295932679,0.09496124,1,PETER,113.8779804,32.8488372
0.305750351,0.091085271,1,PETER,114.1725105,32.73255813
0.315568022,0.09496124,1,PETER,114.4670407,32.8488372
0.322580645,0.104651163,1,PETER,114.6774194,33.13953489
0.329593268,0.106589147,1,PETER,114.887798,33.19767441
0.340813464,0.100775194,1,PETER,115.2244039,33.02325582
0.350631136,0.091085271,1,PETER,115.5189341,32.73255813
0.359046283,0.089147287,1,PETER,115.7713885,32.67441861
0.363253857,0.09496124,1,PETER,115.8976157,32.8488372
0.364656381,0.106589147,1,PETER,115.9396914,33.19767441
