"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,105,"IND","India",1,"Andaman and Nicobar",1,"Nicobar Islands",1,"n.a. ( 2304)",NA,"","Taluk","Taluk","",""
2,105,"IND","India",1,"Andaman and Nicobar",2,"North and Middle Andaman",2,"n.a. ( 2178)",NA,"","Taluk","Taluk","",""
3,105,"IND","India",1,"Andaman and Nicobar",3,"South Andaman",3,"n.a. ( 2178)",NA,"","Taluk","Taluk","",""
4,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",4,"Anantapur",NA,"","Taluk","Taluk","",""
5,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",5,"Dharmavaram",NA,"","Taluk","Taluk","",""
6,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",6,"Gooty",NA,"","Taluk","Taluk","",""
7,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",7,"Hindupur",NA,"","Taluk","Taluk","",""
8,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",8,"Kadiri",NA,"","Taluk","Taluk","",""
9,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",9,"Kalyandurg",NA,"","Taluk","Taluk","",""
10,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",10,"Madakasira",NA,"","Taluk","Taluk","",""
11,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",11,"Penukonda",NA,"","Taluk","Taluk","",""
12,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",12,"Rayadurg",NA,"","Taluk","Taluk","",""
13,105,"IND","India",2,"Andhra Pradesh",4,"Anantapur",13,"Tadpatri",NA,"","Taluk","Taluk","",""
14,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor",14,"Chandragiri",NA,"","Taluk","Taluk","",""
15,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor",15,"Chittoor",NA,"","Taluk","Taluk","",""
16,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor",16,"Kuppam",NA,"","Taluk","Taluk","",""
17,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor",17,"Madanapalle",NA,"","Taluk","Taluk","",""
18,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor",18,"Palmaner",NA,"","Taluk","Taluk","",""
19,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor",19,"Punganuru",NA,"","Taluk","Taluk","",""
20,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor",20,"Puttur",NA,"","Taluk","Taluk","",""
21,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor",21,"Satyavedu",NA,"","Taluk","Taluk","",""
22,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor",22,"Sri Kalahasti",NA,"","Taluk","Taluk","",""
23,105,"IND","India",2,"Andhra Pradesh",5,"Chittoor",23,"Vayalipad",NA,"","Taluk","Taluk","","Vayalpad"
