"","Paper1","paper2"
"comparison",3,3
"comparisons",0,1
"competent",0,1
"competitiveness",0,2
"competitors",0,2
"complex",0,1
"complexity",0,2
"components",1,2
"compose",2,0
"composition",1,0
"compositions",1,0
"comprehend",0,1
"comprehensive",0,2
"compressed",0,1
"computability",1,0
"computational",1,3
"computations",0,1
"computer",8,10
"computergenerated",0,1
"computing",0,1
"concatenated",1,0
"concepts",1,0
"conceptualization",2,0
"concerned",0,2
"concurrent",1,0
"conditional",1,0
"conditions",0,1
"conf",1,0
"conference",18,3
"confidence",0,1
"confirm",1,4
"confirmed",1,2
"confirming",4,0
"conjunction",0,1
"connection",1,1
"consecutive",0,1
"consecutively",0,1
"consensus",0,1
"consider",1,1
"consideration",1,3
"considered",1,2
"consistent",0,1
"consisting",2,0
"consists",7,16
"consolidates",0,1
"constrained",1,0
"construction",2,0
"consumer",2,2
"consumers",0,3
"consumers¡¯",0,7
"containing",1,1
"contempt",1,0
"content",4,0
"contentbased",3,0
"contents",10,0
"context",2,9
"contexts",1,1
"contrary",0,1
"contrast",0,1
"contribute",0,1
"controlling",0,2
"convergence",0,1
"converges",0,1
"conversion",1,1
"converts",0,1
"convolution",3,0
"convolutional",17,3
"convolutions",1,2
"coordinates",2,2
"corr",0,1
"correlated",1,0
"correlation",2,4
"correspond",1,0
"corresponding",2,8
"corresponds",1,2
"cortex",0,3
"cortices",0,1
"costfree",0,1
"costumes",0,3
"couch",0,1
"could",1,1
"couleur",1,2
"council",1,2
"crawler",0,3
"create",2,2
"created",1,0
"creating",0,1
"creation",0,1
"creative",0,1
"creativity",0,2
"creswell",1,0
"criteria",0,1
"critical",0,1
"critique",0,1
"crnns",1,0
"cropping",0,1
"cross",0,1
"cross©regional",1,1
"crosscultural",0,1
"crossregional",1,1
"crosssensing",2,0
"cross©cultural",0,1
"cube",1,1
"cues",0,1
"cultural",1,3
"culurciello",0,1
"cup",0,3
"cups",0,9
"current",0,3
"customers",0,2
"customers¡¯",0,2
"cutting",2,0
"cvpr",2,2
"cylindrical",1,1
"cytowic",1,0
"daily",1,1
"dance",0,1
"dark",0,2
"darker",0,1
"data",12,13
"dataset",2,0
"datasets",3,0
"deaf",4,0
"deal",0,1
"decade",0,1
"decades",0,1
"decided",0,1
"decision",1,1
"decisions",0,3
"decorative",0,3
"deep",13,13
"deeper",1,1
"defined",2,3
"degree",1,2
"delbouys",1,0
"demonstrate",0,1
"demonstrated",2,0
"deng",2,1
"dengler",0,1
"density",0,6
"depended",0,1
"dependency",1,0
"depends",0,1
"derivative",0,1
"describe",1,2
"described",1,1
"describes",1,0
"design",6,8
"designed",3,3
"designer",4,0
"designers",0,1
"designing",0,5
"designs",0,1
"detect",2,4
"detecting",0,1
"detection",12,4
"determine",0,1
"determines",0,1
"developed",2,3
"development",2,2
"developments",1,1
"device",4,1
"difference",0,13
"differences",0,16
"different",21,37
"differentiates",0,1
"differentiating",0,1
"differs",0,1
"difficult",0,1
"difficulty",1,0
"digital",1,1
"dimensional",6,0
"dimensions",7,0
"direct",2,1
"directed",1,0
"direction",0,1
"directly",0,4
"discipline",0,3
"discontinuity",0,1
"discover",0,1
"discovery",0,1
"discrete",6,3
"discriminator",2,0
"discussion",0,1
"disgust",2,0
"dislike",0,7
"disliked",0,2
"display",0,2
"displayed",0,1
"distinct",0,1
"distinguish",3,0
"distinguishable",1,0
"distress",1,0
"distributed",2,7
"distribution",1,0
"distributions",1,1
"document",1,0
"doll",1,1
"domain",0,1
"dominant",0,2
"done",1,3
"drawing",0,1
"driving",1,0
"dunker",1,0
"during",0,3
"dutch",1,2
"dynamics",1,0
"each",2,1
"early",0,1
"easy",0,1
"easytomatch",0,1
"easytomatch¡±",0,2
"eating",1,0
"eba",0,1
"eccv",1,1
"editing",0,1
"effect",0,4
"effective",1,3
"effects",0,2
"efforts",1,0
"eight",1,1
"either",0,1
"ekman",1,0
"ekman¡¯s",1,0
"electronic",0,2
"element",1,0
"ematch¡±",0,1
"embodied",0,1
"emerging",0,2
"emotion",87,17
"emotion¡±",0,1
"emotional",9,2
"emotionbased",2,2
"emotions",45,27
"emphasis",1,0
"empirical",4,1
"employing",1,0
"enable",0,1
"encounter",1,0
"endorsed",1,2
"endtoend",1,1
"energy",0,2
"engineering",0,1
"enhance",0,2
"entities",0,1
"environment",2,7
"environmental",4,6
"environments",1,12
"episode",1,1
"equal",1,5
"equation",0,1
"equations",0,3
"especially",0,3
"establish",0,9
"established",2,4
"estimate",0,3
"estimating",0,1
"estimation",5,5
"estimator",0,1
"evaluate",1,5
"evaluation",2,6
"even",3,4
"events",1,0
"every",0,4
"evidence",0,1
"evoke",4,1
"evoked",1,0
"evolution",0,1
"evolutionary",0,1
"exact",1,0
"example",1,10
"examples",1,1
"exceptionally",0,2
"excited",1,0
"excitement",0,3
"exciting",0,1
"excluding",0,1
"exercising",1,0
"existing",0,6
"exists",0,1
"exiting",0,1
"expanded",0,1
"experience",3,5
"experiences",1,1
"experiment",5,10
"experimental",0,4
"explained",0,1
"explaining",1,0
"exploitation",1,0
"exploring",1,0
"expresses",1,1
"expression",1,0
"extend",0,1
"extended",0,1
"extension",0,4
"extent",0,1
"extract",6,13
"extracted",3,2
"extracting",1,1
"extraction",8,6
"extractor",2,0
"extrastriate",0,1
"extremely",0,2
"eyes",0,1
"fabric",0,8
"fabrics",0,5
"face",1,1
"facial",1,0
"fact",2,0
"factors",0,7
"fairly",0,2
"fake",2,0
"fantastical",0,1
"fashion",1,13
"faster",1,6
"fatlook",0,1
"fatlook¡±",0,1
"favor",0,2
"favorable",0,4
"fazekas",1,0
"fear",3,0
"feature",7,6
"features",25,21
"feed",0,1
"feedback",0,1
"feedforward",3,17
"feel",1,1
"feeling",1,3
"feelings",2,5
"female",0,20
"female£¬finally",0,1
"females",1,5
"feminine¡±",0,1
"field",0,1
"fields",2,0
"figure",22,53
"fill",0,3
"film",2,0
"filtering",0,1
"filters",1,0
"final",0,4
"finally",3,7
"find",1,9
"findings",0,1
"fine",1,1
"finish",0,6
"first",3,6
"firstly",3,9
"fitting",0,1
"five",2,1
"flic",0,1
"floral",0,1
"flow",0,2
"focus",3,6
"focused",0,2
"focuses",2,3
"followed",0,1
"following",3,1
"follows",0,1
"fonseca",1,0
"for",0,6
"forced",0,2
"forever",0,1
"form",0,3
"former",0,2
"forming",0,1
"forms",2,0
"formulas",1,1
"forth",1,0
"found",1,1
"foundation",1,2
"foundations",0,2
"four",3,4
"fourthly",0,2
"framework",2,0
"frameworks",1,0
"franais",1,2
"frequency",1,2
"frequencyinverse",1,0
"from",2,2
"frontal",0,1
"frontiers",1,1
"full",0,2
"function",0,4
"funk",0,1
"furniture",0,3
"furthermore",4,6
"fusion",1,0
"fuzzy",0,1
"gamma",0,1
"gamut",3,3
"gan",1,0
"gans",3,0
"gao",1,0
"gap",2,4
"gaussian",1,2
"gaussians",1,0
"gender",0,8
"genders",0,2
"general",1,4
"generalize",0,1
"generally",0,3
"generate",0,1
"generated",6,0
"generation",5,0
"generative",9,0
"generator",2,0
"generic",1,0
"genre",3,0
"geographic",0,1
"get",0,1
"give",2,0
"given",4,4
"giving",0,1
"glass",0,2
"gmm",1,0
"going",1,2
"good",0,1
"goodfellow",2,0
"gradation",1,0
"gradient",1,43
"gradients",0,4
"graphics",0,2
"gray",0,2
"graylevel",0,1
"great",3,7
"green¨Cred",0,1
"greenred",1,0
"group",1,2
"groups¡¯",0,1
"gru",1,0
"guan",0,1
"guilt",1,0
"gxi",0,1
"hanbury",1,0
"hand",0,2
"handcrafted",5,0
"hansen",1,0
"happiness",1,0
"haptic",0,1
"hard",0,3
"harder",0,1
"hardtomatch",0,1
"hardtomatcheasytomatch",0,5
"harmonic",1,0
"harmonious",0,3
"harmony",6,3
"headset",0,1
"hear",4,0
"hearing",2,0
"heart",0,1
"heat",0,2
"heatmap",0,1
"heatmaps",0,1
"heavylight",2,5
"heekim",0,1
"height",0,2
"help",6,3
"hence",5,11
"here",0,2
"hidayetoglu",0,1
"hierarchical",3,20
"hierarchies",1,0
"high",2,0
"higher",0,1
"highlevel",3,0
"hill",0,1
"hillenbrand",0,1
"hinton",3,1
"history",1,1
"hll",0,1
"home",0,13
"hopkins",0,1
"horizontal",1,1
"hourglass",1,16
"house",0,2
"housekeeping",1,0
"how",1,1
"however",3,5
"hsiao",1,0
"hsu",0,1
"hue",2,3
"hui",1,0
"human",8,12
"human¡¯s",0,1
"humanity",0,1
"humanized",2,0
"humans",1,0
"hurlbert",0,2
"hutchinson",1,0
"hybrid",1,0
"hypothetical",0,2
"iaps",2,0
"icassp",3,0
"icsp",1,0
"identical",1,0
"identifies",3,0
"identifying",2,0
"identity",0,5
"ieee",13,6
"ignore",3,0
"iii",1,1
"ijcai",1,0
"illumination",1,1
"illustrate",0,4
"illustrated",0,1
"illustrates",1,0
"illustration",0,1
"imacs",0,1
"image",59,19
"imagenet",2,1
"images",7,24
"imagine",0,1
"imaging",0,1
"immersion",0,1
"immersive",0,1
"impact",1,3
"implemented",0,1
"implicated",0,1
"implications",0,2
"implying",0,1
"importance",0,1
"important",3,10
"improve",0,6
"improvement",0,2
"inch",0,1
"include",0,1
"included",0,2
"including",12,12
"incorporates",0,1
"increase",0,1
"increased",0,1
"increases",0,1
"increasing",0,1
"independent",0,3
"indexing",0,2
"indicate",0,1
"indicated",2,1
"indicates",0,4
"individual",2,0
"individual¡¯s",1,0
"indoor",0,1
"induced",1,1
"industrial",0,6
"infer",1,0
"inference",1,4
"inferior",0,1
"influence",0,3
"influenced",1,1
"influences",0,3
"influencing",0,2
"informaion",1,0
"information",8,3
"informationprocessing",0,1
"informative",1,0
"inherent",1,10
"initial",0,1
"innovative",1,0
"input",2,0
"inputs",2,0
"insight",0,1
"insights",0,1
"inspired",3,1
"instead",2,1
"institute",0,1
"instruction",1,0
"instruments",2,0
"insula",0,1
"int",1,0
"integrate",1,0
"integration",4,1
"integrative",0,1
"intell",1,0
"intelligence",4,3
"intelligent",1,1
"intended",1,0
"intention",0,2
"intentionalitya",0,1
"interacting",1,1
"interactions",0,1
"interactive",0,1
"interactivity",0,1
"interest",1,0
"interference",0,2
"interior",0,3
"interiors",0,1
"inter©Society",1,2
"intermediate",0,6
"internal",4,3
"international",17,2
"internet",0,1
"interpolated",0,1
"interpolation",0,1
"intersection",0,1
"inversely",1,0
"investigate",0,15
"investigated",0,2
"investigates",1,1
"investigating",0,1
"investigation",1,22
"involuntary",1,0
"involved",0,5
"involves",0,1
"involving",1,0
"ipl",0,1
"ismir",3,0
"items",1,2
"iteration",0,2
"iteratively",0,2
"ith",0,1
"its",0,1
"izard",2,0
"jacket",0,2
"japan",1,2
"jiang",1,0
"jingdong",0,3
"johns",0,1
"joint",2,0
"joint¡¯s",0,1
"joints",0,2
"journal",3,8
"joy",4,0
"judgement",0,3
"judgements",0,1
"judgment",2,1
"judgments",1,2
"juslin",2,0
"just",3,5
"kavukcuoglu",1,0
"kernel",0,9
"key",1,3
"keypoints",0,13
"keypotins",0,1
"kiapour",1,1
"kim",1,2
"kind",0,2
"kirsch",0,2
"kjems",1,0
"klemenc",1,0
"knees",0,1
"know",0,3
"knowledge",0,5
"known",1,1
"koelsch",1,1
"krizhevsky",2,1
"kxxi",0,1
"lab",6,13
"labrecque",0,1
"lang",1,0
"language",2,0
"large",2,0
"largescale",3,12
"largest",0,1
"lasso",0,1
"latent",1,1
"lattice",0,1
"layer",3,7
"layered",0,2
"layers",2,5
"lch",4,11
"leads",1,0
"learn",6,1
"learning",15,12
"learns",2,0
"least",0,3
"lecun",1,0
"leder",1,3
"lee",3,0
"left",1,1
"lenz",1,0
"levels",5,0
"life",1,2
"lifelog",1,0
"light",2,3
"light¡±",0,1
"lighter",0,1
"lightness",2,4
"like",0,17
"like¡±",0,3
"likedislike",0,2
"lim",0,1
"line",3,3
"linear",1,6
"lines",0,1
"ling",0,1
"link",0,1
"linking",0,1
"links",0,1
"literally",2,0
"literature",0,1
"liu",2,2
"live",0,1
"living",0,1
"lobule",0,1
"local",0,1
"localizing",0,1
"location",0,1
"london",1,0
"long",2,0
"look",0,1
"loudness",3,0
"louise",0,1
"low",1,1
"lowers",0,1
"lowlevel",4,2
"lughofer",2,2
"lyrics",1,0
"machajdik",1,0
"machine",3,4
"machines",1,0
"made",0,4
"magazine",1,0
"main",6,7
"mainly",1,1
"make",2,10
"making",2,2
"malandrino",1,0
"male",0,19
"males",1,5
"management",2,3
"manav",0,1
"mandatory",0,2
"manual",1,0
"manually",1,0
"many",0,4
"map",1,0
"mapping",14,0
"mardirossian",1,0
"market",0,1
"marketers",0,1
"marketing",1,3
"marketplace",0,1
"mary",1,0
"masculinefeminine",0,5
"mask",1,1
"masked",1,0
"matching",1,0
"material",0,1
"materials",0,10
"mathematical",0,1
"matlab",0,1
"matrix",0,2
"maximum",0,2
"may",1,2
"mdcha",0,1
"mean",0,21
"meaning",1,3
"meanings",0,2
"means",2,0
"measure",0,2
"measurement",1,0
"measures",2,0
"mechanisms",1,2
"medhat",1,0
"media",0,1
"medium",0,2
"meer",0,1
"men",0,4
"mens",0,4
"mentioned",0,1
"metaanalytic",0,1
"method",8,24
"methodolgy",1,1
"methods",6,12
"middle",0,1
"might",2,0
"milestones",0,1
"milne",0,1
"minds",0,1
"mirror",0,2
"mit",1,0
"mixture",1,0
"mlsp",1,0
"mode",0,2
"model",30,45
"modeled",0,1
"modeling",5,3
"models",5,7
"modern¡±",0,1
"modify",2,0
"module",0,3
"modules",0,3
"monitors",0,2
"monophonic",2,0
"month",0,1
"mood",4,1
"moods",0,2
"more",2,0
"most",0,1
"motion",0,1
"motor",0,2
"movement",1,0
"moves",0,1
"mpii",0,2
"much",1,2
"muji",0,1
"multiclassmultilabel",1,0
"multicolor",0,27
"multi©colored",1,0
"multilevel",2,0
"multimedia",8,0
"multimodal",1,0
"multiperson",2,2
"multiple",4,6
"multispectral",0,1
"multitude",0,3
"music",62,1
"musical",3,0
"musicalization",17,0
"musicevoked",1,0
"nacc",0,1
"nadal",1,1
"name",1,0
"named",1,0
"names",0,1
"narrative",0,1
"nature",1,0
"ndubisi",0,1
"nearly",1,7
"need",1,4
"needed",0,1
"needs",0,1
"negative",1,0
"nervous",0,3
"net",1,0
"nets",2,0
"network",10,18
"network¡¯s",0,1
"networks",22,4
"neural",27,8
"neurasthenics",0,1
"neuroaesthetic",0,2
"neuroaesthetics",0,6
"neurobiological",0,2
"neurobiology",0,1
"neurocomputing",2,1
"neurofunctional",0,1
"neuroimaging",0,1
"neurological",0,1
"neurophysiological",0,1
"neuropsychological",0,1
"neuroscience",2,7
"neutral",0,1
"neutrally",0,2
"never",1,0
"nevertheless",0,1
"new",0,2
"newell",1,1
"news",0,1
"next",0,4
"nielsen",1,0
"nips",1,0
"nonetheless",0,1
"nonlinear",0,1
"nonparametric",0,1
"nontechnological¡±",0,1
"normally",1,1
"norman",0,2
"note",0,1
"novel",2,1
"now",1,0
"nucleus",0,1
"number",3,14
"numbers",0,1
"numerical",2,2
"object",6,24
"objective",0,2
"objectives",4,0
"objects",1,12
"observer",0,3
"observers",1,11
"observers¡¯",0,4
"obtain",0,5
"obtained",0,2
"obtaining",0,1
"occipitotemporal",0,1
"occur",0,1
"ofc",0,1
"office",0,11
"often",0,1
"ogihara",1,0
"oly",0,1
"one",12,5
"onecolor",0,14
"online",0,20
"opposed",0,1
"orange",0,3
"orbitofrontal",0,1
"order",0,1
"ordinary",0,1
"organization",2,0
"organized",1,0
"organizing",1,0
"original",0,1
"others",0,1
"our",0,1
"outcompeting",0,1
"output",0,3
"outputs",0,1
"outstanding",0,1
"over",0,1
"overall",2,0
"overview",2,1
"oxford",1,0
"pair",0,1
"pairs",0,2
"palmer",0,1
"papandreou",1,1
"paper",3,1
"parahippocampal",0,1
"parameter",0,1
"parietal",0,1
"parse",1,1
"parsing",4,3
"part",5,11
"particular",2,2
"partofspeech",1,0
"parts",2,6
"passionate¡±",0,3
"passiveactive",0,3
"past",0,1
"paszke",0,1
"patch",0,2
"patches",4,6
"pathway",2,0
"pattern",5,13
"patterns",2,2
"pdimensional",0,1
"people",2,6
"people¡¯s",0,12
"perceived",1,1
"perception",29,73
"perceptual",1,1
"perceptually",1,1
"performance",1,3
"perpendicular",0,1
"person¡¯s",0,2
"personality",1,0
"personalized",2,1
"perspective",0,1
"perspectives",0,1
"persuasion",0,1
"persuasive",0,1
"phase",0,1
"phenomenology",0,1
"phenomenon",1,0
"phone",0,15
"photographs",1,1
"photos",4,0
"physical",0,1
"physics",0,1
"physiological",1,0
"picture",2,0
"pictures",1,2
"picturization",15,0
"piczak",1,0
"piece",1,0
"pieces",0,2
"pipeline",0,2
"pitch",3,0
"pitches",2,0
"pixel",0,2
"pixelwise",0,1
"place",1,3
"placed",1,1
"placement",1,0
"placing",0,1
"plaid",0,8
"plaids",0,1
"plan",0,1
"plane",1,0
"planners",1,1
"plastic",0,2
"platform",0,8
"play",2,3
"plays",1,0
"pleasant",1,0
"plotted",3,3
"plutchik",2,0
"plutchik¡¯s",1,0
"pmc",0,1
"point",0,2
"pointed",0,1
"points",0,5
"polarity",1,0
"policy",1,0
"polyphonic",1,0
"pooling",0,1
"pools",0,1
"popular",0,24
"popularity",0,2
"pos",1,0
"pose",5,5
"position",1,1
"positiondependent",0,1
"positive",2,1
"possible",1,3
"posterior",0,1
"powerful",1,1
"powerfully",0,1
"ppa",0,1
"ppl",0,1
"practical",0,1
"precise",0,1
"predict",3,1
"predicting",0,2
"predictions",0,1
"predicts",0,1
"preference",6,93
"preferences",1,2
"prefrontal",0,1
"preliminary",0,1
"premotor",0,1
"preprint",7,3
"presence",0,1
"present",0,3
"presentation",2,0
"presented",0,1
"preservation",0,3
"press",3,1
"pressure",0,2
"prevailing",1,0
"previous",0,6
"primarily",0,1
"primary",0,3
"principleofart",1,0
"principlesofart",1,0
"print",1,0
"printing",0,6
"prior",1,1
"probabilistic",1,0
"probability",0,2
"problem",2,1
"proc",1,0
"proceedings",10,2
"process",5,3
"processes",1,2
"processing",9,5
"produce",0,2
"product",3,24
"production",4,0
"products",1,27
"profile",0,1
"progression",0,1
"progressions",1,0
"project",0,1
"promotional",0,1
"properties",2,15
"proportion",0,1
"proposal",2,6
"proposals",0,1
"propose",2,1
"proposed",7,7
"proposes",0,1
"prospects",0,1
"protanopia",2,0
"proved",1,0
"provide",0,1
"provides",0,2
"prudent",0,1
"psts",0,1
"psychological",7,6
"psychology",4,6
"published",0,1
"pulse",0,1
"purchase",0,3
"purple",0,2
"purposes",1,0
"pyramid",1,1
"qualifications",2,0
"qualify",0,2
"qualitative",1,7
"qualities",0,1
"quantification",8,0
"quantify",1,1
"quantitative",1,1
"quartet",0,2
"queen",1,0
"questions",0,2
"quickly",4,0
"quite",2,0
"race",0,1
"radius",1,2
"raises",0,1
"ramp",0,1
"range",5,1
"rao",1,0
"rates",0,2
"rather",2,3
"ratings",2,1
"rcnn",2,7
"reaching",0,1
"reaction",1,0
"reactions",3,0
"read",0,1
"real",2,4
"reality",0,6
"realize",5,5
"realized",4,2
"realtime",1,1
"realworld",2,1
"reason",0,1
"reasonable",0,1
"recent",2,1
"recently",1,5
"reception",0,1
"recognition",29,13
"recognize",5,1
"recommendation",3,0
"recurrent",3,0
"red",1,5
"redies",1,1
"reduce",0,3
"reducing",1,0
"reference",0,2
"references",1,0
"referred",1,3
"regardless",0,1
"region",1,5
"regionbased",0,1
"regions",2,5
"register",1,0
"regression",2,9
"reinforcement",2,0
"related",0,2
"relationship",4,16
"relationships",6,10
"relative",1,1
"relaxed¡±",0,1
"reliable",0,1
"remains",1,1
"remove",0,1
"ren",1,1
"repeated",0,4
"report",1,1
"represent",1,1
"representation",2,2
"representations",6,0
"represented",0,1
"reprinted",0,1
"research",12,32
"researchers",0,2
"researches",2,0
"reshaping",0,1
"residences",0,2
"residual",1,2
"resolution",0,4
"resolutions",0,1
"respect",1,1
"respectively",0,3
"respiration",0,1
"respondents",0,1
"response",0,2
"responses",2,4
"responsible",0,1
"result",1,1
"results",1,8
"retailers",0,1
"retained",0,1
"retrieval",8,0
"retrieving",1,1
"reverse",4,0
"review",2,2
"reviews",0,3
"reward",0,2
"rgb",0,2
"rhythm",1,0
"ridge",0,1
"right",1,1
"risk",0,1
"rnn",1,0
"rnnbased",1,0
"rnns",2,0
"robinson",1,0
"robust",0,2
"role",1,2
"roles",0,2
"room",0,1
"rooms",0,1
"rounds",0,1
"routine",1,0
"rpn",0,1
"russell",2,0
"ryan",0,1
"sadness",4,0
"saito",0,1
"sale",0,2
"sales",0,8
"salient",0,1
"sample",0,3
"samplecnn",1,0
"samples",1,1
"sandler",1,0
"sands",0,2
"saturation",1,1
"says",1,1
"scalable",0,1
"scale",1,3
"scales",3,23
"scatterplot",0,2
"schanda",0,1
"schematic",0,1
"scheme",0,3
"schemes",0,3
"schloss",0,4
"schuller",1,0
"science",1,4
"sciences",3,1
"scientific",0,1
"scientists",2,0
"score",1,0
"scott",0,2
"sea",0,1
"second",1,0
"secondly",3,8
"seconds",0,2
"see",4,1
"seen",0,2
"segment",0,2
"segmenting",0,1
"select",3,9
"selected",0,11
"selecting",0,1
"selection",1,3
"sellers",0,1
"selling",0,7
"semantic",4,22
"semantics",3,0
"seminal",1,0
"sense",2,0
"senses",5,0
"sensorimotor",0,2
"sensory",2,1
"seqgan",10,0
"sequence",9,0
"series",6,2
"serious",0,1
"set",4,6
"sets",2,0
